0	FLT	08-JUN-24
1	AM0	ARMENIA	G	IFAR	Toyota Rav4	5	5	2	AC	Air Conditioning	Intermediate	https://avisassets.abgemea.com/dam/budget/car/toyota/rav4/168x136/toyota_rav4.jpg	https://avisassets.abgemea.com/dam/budget/car/toyota/rav4/app/portrait/toyota_rav4.png
1	AM0	ARMENIA	H	FFAR	Toyota Prado	5	5	2	AC	Air Conditioning	Fullsize	https://avisassets.abgemea.com/dam/budget/car/toyota/prado/168x136/toyota_prado.jpg	https://avisassets.abgemea.com/dam/budget/car/toyota/prado/app/portrait/toyota_prado.png
1	AM0	ARMENIA	I	SCAR	Toyota Camry	4	5	1	AC	Air Conditioning	Standard	https://avisassets.abgemea.com/dam/budget/car/toyota/camry/168x136/toyota_camry.jpg	https://avisassets.abgemea.com/dam/budget/car/toyota/camry/app/portrait/toyota_camry.png
1	AM0	ARMENIA	J	PVMR	Mercedes Sprinter	4	15	2	AC	Air Conditioning	Premium	https://avisassets.abgemea.com/dam/budget/car/mercedes/sprinter/168x136/mercedes_sprinter.jpg	https://avisassets.abgemea.com/dam/budget/car/mercedes/sprinter/app/portrait/mercedes_sprinter.png
1	AN0	CURACAO	B	CCAR	Toyota Yaris	4	4	1	AC	Air Conditioning	Compact	https://avisassets.abgemea.com/dam/budget/car/toyota/yaris/sedan/168x136/toyota_yaris_sedan.jpg	https://avisassets.abgemea.com/dam/budget/car/toyota/yaris/sedan/app/portrait/toyota_yaris_sedan.png
1	AN0	CURACAO	C	ICAR	Toyota Corolla	4	5	2	AC	Air Conditioning	Intermediate	https://avisassets.abgemea.com/dam/budget/car/toyota/corolla/sedan/168x136/toyota_corolla_sedan.jpg	https://avisassets.abgemea.com/dam/budget/car/toyota/corolla/sedan/app/portrait/toyota_corolla_sedan.png
1	AN0	CURACAO	F	ECAR	Kia Picanto	4	4	2	AC	Air Conditioning	Economy	https://avisassets.abgemea.com/dam/budget/car/kia/picanto/168x136/kia_picanto.jpg	https://avisassets.abgemea.com/dam/budget/car/kia/picanto/app/portrait/kia_picanto.png
1	AN0	CURACAO	J	FFAR	Hyundai Tucson	5	5	2	AC	Air Conditioning	Fullsize	https://avisassets.abgemea.com/dam/budget/car/hyundai/tucson/168x136/hyundai_tucson.jpg	https://avisassets.abgemea.com/dam/budget/car/hyundai/tucson/app/portrait/hyundai_tucson.png
1	AN0	CURACAO	N	XPMR	Toyota Hilux	4	4	2	AC	Air Conditioning	Special	https://avisassets.abgemea.com/dam/budget/car/toyota/hilux/double_cab/168x136/toyota_hilux_double_cab.jpg	https://avisassets.abgemea.com/dam/budget/car/toyota/hilux/double_cab/app/portrait/toyota_hilux_double_cab.png
1	AN0	CURACAO	O	SFAR	Hyundai Venue	5	5	1	AC	Air Conditioning	Standard	https://avisassets.abgemea.com/dam/budget/car/hyundai/venue/168x136/hyundai_venue.jpg	https://avisassets.abgemea.com/dam/budget/car/hyundai/venue/app/portrait/hyundai_venue.png
1	AO0	ANGOLA	A	MDMR	Fiat Panda	5	5	1	AC	Air Conditioning	Mini	https://avisassets.abgemea.com/dam/budget/car/fiat/panda/168x136/fiat_panda.jpg	https://avisassets.abgemea.com/dam/budget/car/fiat/panda/app/portrait/fiat_panda.png
